Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
R,18.593,17.2861,-2.19381,3.46886,0.745165,0.252728,0.354466,0.705006,0.880795,18.2814,17.8617,-3.042,3.71372
L,18.593,17.2861,-2.19381,3.46886, ,0.255071,0.359361,0.707226,0.877488,18.1268,18.0453,-3.14318,3.62906
R,18.3635,17.5454,-2.51687,2.99445,0.764832,0.256455,0.362898,0.707365,0.875423,17.9671,18.2246,-3.24204,3.5418
L,18.3635,17.5454,-2.51687,2.99445, ,0.260131,0.36913,0.708307,0.872991,17.8026,18.3994,-3.3385,3.45199
R,18.2028,17.8356,-2.46843,2.88332,0.777975,0.263841,0.373239,0.710591,0.870666,17.6334,18.5697,-3.43247,3.35973
L,18.2028,17.8356,-2.46843,2.88332, ,0.270634,0.37993,0.713806,0.868018,17.4595,18.7353,-3.5239,3.26509
R,17.922,18.0918,-2.70538,2.61789,0.790053,0.27525,0.384835,0.715444,0.866079,17.281,18.8962,-3.61271,3.16817
L,17.922,18.0918,-2.70538,2.61789, ,0.283245,0.392213,0.717899,0.863739,17.0983,19.0521,-3.69883,3.06904
R,17.4337,18.6184,-3.12291,2.85499,0.804896,0.285736,0.393971,0.717486,0.860612,16.9113,19.203,-3.78221,2.9678
L,17.4337,18.6184,-3.12291,2.85499, ,0.291145,0.39746,0.717652,0.857465,16.7201,19.3488,-3.86278,2.86455
R,16.8666,19.1437,-3.7033,2.89441,0.834836,0.291541,0.397109,0.715332,0.85443,16.5251,19.4894,-3.9405,2.75938
L,16.8666,19.1437,-3.7033,2.89441, ,0.294085,0.397775,0.713245,0.851599,16.3262,19.6246,-4.01531,2.65237
R,16.6011,19.1753,-3.70016,2.32012,0.866957,0.295797,0.399363,0.711446,0.848762,16.1237,19.7545,-4.08716,2.54364
L,16.6011,19.1753,-3.70016,2.32012, ,0.300313,0.402332,0.709957,0.845801,15.9176,19.8789,-4.15602,2.43329
R,16.2482,19.3885,-3.61558,2.38053,0.874288,0.302665,0.40416,0.70928,0.842832,15.7082,19.9978,-4.22185,2.32141
L,16.2482,19.3885,-3.61558,2.38053, ,0.308101,0.40725,0.709006,0.840003,15.4956,20.111,-4.28461,2.2081
R,15.493,19.9791,-4.3282,2.64044,0.890324,0.307543,0.406324,0.706541,0.838322,15.2799,20.2185,-4.34427,2.09347
L,15.493,19.9791,-4.3282,2.64044, ,0.30857,0.40591,0.704127,0.837237,15.0613,20.3203,-4.4008,1.97763
R,15.0447,20.1635,-4.48686,2.28957,0.931169,0.307978,0.405058,0.701716,0.83512,14.84,20.4162,-4.4542,1.86068
L,15.0447,20.1635,-4.48686,2.28957, ,0.308957,0.404667,0.699327,0.833496,14.6161,20.5063,-4.50443,1.74272
R,14.4155,20.4938,-4.90766,2.14201,0.949576,0.307919,0.403375,0.697575,0.831766,14.3897,20.5904,-4.55149,1.62386
L,14.4155,20.4938,-4.90766,2.14201, ,0.307591,0.402275,0.695701,0.830615,14.1611,20.6686,-4.59537,1.50421
R,13.9038,20.6918,-5.07234,1.85641,0.978814,0.306571,0.400951,0.694292,0.828741,13.9304,20.7408,-4.63606,1.38386
L,13.9038,20.6918,-5.07234,1.85641, ,0.306014,0.399731,0.69275,0.827403,13.6977,20.807,-4.67357,1.26294
R,13.5275,20.7174,-5.06345,1.27403,1.000294,0.305051,0.398599,0.69107,0.824746,13.4632,20.8671,-4.70789,1.14153
L,13.5275,20.7174,-5.06345,1.27403, ,0.305021,0.397635,0.689307,0.822304,13.2271,20.9211,-4.73904,1.01975
R,13.0498,20.854,-5.08755,1.15233,1.012433,0.304067,0.39645,0.68755,0.819886,12.9895,20.969,-4.76702,0.897694
L,13.0498,20.854,-5.08755,1.15233, ,0.304036,0.39537,0.68574,0.817798,12.7506,21.0108,-4.79186,0.775469
R,12.287,21.1043,-5.56642,1.09616,1.031800,0.303588,0.394128,0.686191,0.815944,12.5106,21.0465,-4.81358,0.653175
L,12.287,21.1043,-5.56642,1.09616, ,0.302623,0.392877,0.686508,0.814591,12.2695,21.0761,-4.83219,0.530912
