Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
R,-5.94847,-0.910606,-2.38021,-4.67695,-2.983205,0.256308,0.317689,0.631209,0.64057
L,-5.94847,-0.910606,-2.38021,-4.67695, ,0.255848,0.317311,0.630078,0.639447
R,-6.11243,-1.47436,-2.18534,-4.93502,-2.922381,0.25541,0.316873,0.629078,0.63871
L,-6.11243,-1.47436,-2.18534,-4.93502, ,0.254988,0.316341,0.628142,0.638038
R,-6.35547,-1.94002,-2.58043,-4.97748,-2.840229,0.254554,0.315931,0.627052,0.637547
L,-6.35547,-1.94002,-2.58043,-4.97748, ,0.254142,0.315392,0.62595,0.637141
R,-6.67375,-2.30635,-2.62379,-4.56554,-2.788441,0.253788,0.314875,0.624853,0.636065
L,-6.67375,-2.30635,-2.62379,-4.56554, ,0.253344,0.314428,0.623756,0.635021
R,-6.97861,-2.72038,-2.77221,-4.47361,-2.762523,0.253074,0.313896,0.622689,0.63394
L,-6.97861,-2.72038,-2.77221,-4.47361, ,0.252636,0.313492,0.621609,0.63289
R,-7.2265,-3.1898,-2.63934,-4.4994,-2.729956,0.25232,0.312995,0.620583,0.631905
L,-7.2265,-3.1898,-2.63934,-4.4994, ,0.251883,0.312534,0.61961,0.630972
R,-7.48986,-3.74383,-2.57174,-4.75298,-2.689274,0.251537,0.312266,0.618811,0.630673
L,-7.48986,-3.74383,-2.57174,-4.75298, ,0.251111,0.311729,0.618115,0.630503
R,-7.75524,-4.15073,-2.70734,-4.63786,-2.642896,0.250731,0.311439,0.617277,0.630123
L,-7.75524,-4.15073,-2.70734,-4.63786, ,0.250332,0.310908,0.616536,0.629876
